Title,Rating,Image_URL
Logan,8.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spy/Master,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Return of the King,9.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Transformers: Age of Extinction,5.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Commando,6.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rome,8.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jujutsu Kaisen,8.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Battlestar Galactica,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Kisi Ka Bhai Kisi Ki Jaan,5.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Witcher: Blood Origin,4.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Iron Man,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mission: Impossible II,6.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Independence Day,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
1917,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Teen Wolf,6.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman & Robin,3.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Naruto,8.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
300,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
RRR (Rise Roar Revolt),7.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Alice in Borderland,7.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Batman v Superman: Dawn of Justice,6.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Spy,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Doctor Strange in the Multiverse of Madness,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Baby Driver,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Halo,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jumanji: Welcome to the Jungle,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ghostbusters,6.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Suicide Squad,5.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Uncharted,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Justice League,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
In Time,6.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Star Wars: Rebels,8.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Aquaman,6.8,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Eternals,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Young Indiana Jones Chronicles,7.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Wrath of Man,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Peter Pan & Wendy,4.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Magnificent Seven,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
American Sniper,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Archer,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Cannes Confidential,4.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Captain America: The First Avenger,6.9,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Watchmen,8.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Deadpool 2,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Clover: Sword of the Wizard King,7.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Guardians of the Galaxy Vol. 2,7.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Peacemaker,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Knight and Day,6.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Vikings: Valhalla,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Prey,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Superman,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Tropic Thunder,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Nice Guys,7.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Conan the Barbarian,5.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Free Guy,7.1,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Open Range,7.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Black Hawk Down,7.7,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Boku no hîrô akademia,8.3,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Treason,6.4,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Adventure Time,8.6,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Fast & Furious,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Jack Reacher,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Terminator: Dark Fate,6.2,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Warrior Nun,7.0,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Shazam!,6.5,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
